Name,1st Der M,Incl,RoA,Eccent,Arg of Peri,Mean Anom,Mean Motion
PRISM (HITOMI),1.375e-05,98.1793,45.0549,14678.0,194.0369,166.0446,14.97516901
SPRITE-SAT (RISING),9.9e-07,98.3764,293.8331,2875.0,324.0934,36.0079,14.71689359
KAGAYAKI,5.2e-07,98.3469,302.1189,7826.0,351.0186,9.0879,14.72211383
SOHLA-1 (MAIDO-1),7.5e-07,98.3663,296.5091,5616.0,333.617,26.4749,14.71917351
SDS-1,1.01e-06,98.4062,279.1029,1648.0,173.7983,186.3242,14.70653629
STARS (KUKAI),3.58e-06,98.2262,324.8098,9595.0,247.6037,112.4157,14.79306596
KKS-1 (KISEKI),1.9e-06,98.2816,314.6515,8049.0,308.1284,51.9198,14.75633754
KORONAS-FOTON,3.65e-06,82.4397,301.3244,19614.0,24.7436,335.4732,15.15917384
NOAA 19,2.4e-07,99.1905,105.1703,13938.0,6.5038,353.6312,14.12457343
RISAT 2,8.663e-05,41.2114,63.8114,6782.0,220.3827,277.6072,15.43341123
YAOGAN 6,1.334e-05,97.0468,84.9796,29425.0,91.9407,268.5203,15.27366074
COSMOS 2451,5e-08,82.4918,195.9734,7504.0,44.1684,315.9993,12.40823129
COSMOS 2452,1e-08,82.495,187.6132,14692.0,343.807,16.2538,12.42928908
COSMOS 2453,5.7e-07,82.492,192.9134,7743.0,6.6739,353.4437,12.41467535
RAZAKSAT,6.9e-06,8.9863,184.0724,16651.0,188.7806,171.2092,14.66984953
COSMOS 2454,3.7e-07,82.9583,33.3258,18752.0,321.7154,38.2673,13.89659767
STERKH,5e-07,82.9596,32.78,19140.0,313.3833,46.5736,13.89874664
DEIMOS 1,8.8e-07,97.7725,314.0945,1245.0,161.6076,198.5185,14.71880931
DUBAISAT 1,1.35e-06,97.7496,256.2495,12628.0,63.2837,296.966,14.68867279
DMC 2,1.31e-06,97.6861,279.4245,1111.0,92.2779,267.8563,14.71196873
APRIZESAT 4,1.47e-06,98.3047,80.0225,46782.0,346.598,13.3984,14.79350131
NANOSAT 1B,2.06e-06,98.2274,132.0884,57289.0,271.0125,88.4525,14.84394214
APRIZESAT 3,2.11e-06,98.1432,157.5357,72224.0,204.6648,155.1108,14.87483703
METEOR-M,4e-08,98.4722,67.9917,3503.0,87.5829,272.575,14.2226821
STERKH 2,1.1e-07,98.451,69.3311,4357.0,73.916,286.2498,14.23006611
FREGAT/IRIS,0.14483145,96.8492,120.9924,10099.0,249.121,113.6327,16.55659007
TATIANA 2,2.9e-07,98.4566,69.2453,5263.0,66.9785,293.1948,14.22914571
UGATUSAT,5e-08,98.4704,66.9983,5710.0,82.6728,277.5099,14.2245305
SUMBANDILA,0.0003106,96.9922,120.2877,1267.0,66.7215,303.9495,15.75681228
BLITS,-2.7e-07,98.4913,64.7379,4629.0,90.0572,270.1136,14.21814122
OCEANSAT 2,1.1e-06,98.2901,183.6873,289.0,247.991,112.1257,14.50848688
SWISSCUBE,2.07e-06,98.6078,283.9552,7244.0,347.9915,12.1108,14.5650584
BEESAT,1.77e-06,98.6051,285.7659,5747.0,4.1659,355.9585,14.56567434
UWE-2,1.47e-06,98.6133,281.4095,6542.0,9.0047,351.1265,14.56017631
ITUPSAT 1,1.61e-06,98.6154,285.945,8032.0,1.2585,358.863,14.55702804
RUBIN 9.1/RUBIN 9.2/PS,2.9e-07,98.1399,47.2324,56167.0,78.4862,282.2628,14.41893422
WORLDVIEW 2,-2.142e-05,98.4903,162.0515,965.0,141.5588,218.5497,14.37701407
DMSP 5D-3 F18 (USA 210,6.5e-07,98.6749,73.2684,9930.0,282.9553,77.0511,14.13341795
SMOS,9.4e-07,98.4443,275.4743,921.0,90.1108,270.0185,14.39752959
PROBA 2,2.8e-07,98.2247,276.5597,14335.0,50.7196,309.527,14.53145181
SJ-11-01,1.3e-07,97.9636,114.8774,10162.0,268.2986,91.706,14.60209034
COSMOS 2455,-9.2e-07,67.1478,211.0069,4248.0,246.4774,113.5865,13.96766577
YAOGAN 7,1.2e-06,98.2448,294.006,25271.0,32.9311,327.3473,14.75470339
WISE,1.756e-05,97.2947,124.5183,4324.0,95.0272,265.1463,15.30710257
YAOGAN 8,1.58e-06,100.2192,37.8441,20559.0,293.4097,66.4848,13.04961633
XIWANG-1 (HOPE-1),-5e-07,100.1241,70.6031,6877.0,293.1245,66.9144,13.16359414
YAOGAN 9A,-9.9e-07,63.3858,242.1901,371211.0,9.7765,54.5762,13.45198041
YAOGAN 9B,-6.4e-07,63.3876,241.9743,370947.0,9.2106,351.5487,13.45209741
YAOGAN 9C,-1.31e-06,63.3876,242.441,372026.0,9.4845,351.2956,13.45209921
CRYOSAT 2,8.1e-07,92.0203,176.1343,5008.0,352.1279,7.9849,14.51904516
COSMOS 2463,-1.5e-07,82.9615,210.9787,36781.0,24.5893,335.7009,13.71453716
SERVIS 2,6e-08,100.4333,275.7393,16797.0,302.9136,84.8664,13.15903025
SJ-12,-8.1e-07,97.6819,75.9902,13226.0,88.2292,272.0444,14.96923218
PICARD,3.1e-07,98.3138,277.0353,1745.0,84.2761,275.8633,14.50701009
PRISMA (MANGO),6.9e-07,98.2241,308.9083,56274.0,25.7299,334.6696,14.56131701
TANDEM X,-1.26e-05,97.4464,95.5058,2002.0,82.8258,38.4983,15.19140551
CARTOSAT 2B,9.9e-07,97.8794,146.8105,12447.0,245.786,114.2051,14.78713231
STUDSAT,5.26e-06,98.1921,249.8184,13399.0,151.0355,209.1606,14.88016843
AISSAT 1,3.48e-06,98.2068,249.7087,11177.0,176.9669,183.1615,14.86458645
ALSAT 2A,0.00045855,97.9268,137.185,2252.0,80.7645,279.3785,14.68265295
TISAT 1,7.36e-06,98.2066,273.9748,13324.0,119.7138,240.5407,14.91654653
PRISMA (TANGO),8.5e-07,98.5456,273.1903,42123.0,214.0105,145.8384,14.42501767
YAOGAN 10,1e-06,97.9816,94.3686,1510.0,92.5392,267.5999,14.81032342
TIANHUI 1,1.308e-05,97.7137,285.295,32645.0,68.4144,15.7625,15.25297575
COSMOS 2467,2.2e-07,82.462,178.2575,1670.0,54.3797,305.7421,12.42901485
STRELA 3,3.4e-07,82.4612,186.7005,6369.0,262.8131,97.2207,12.40740543
COSMOS 2468,-3.9e-07,82.4666,176.6134,10998.0,134.431,225.7672,12.43662822
YAOGAN 11,1.34e-06,98.2945,206.1367,38113.0,216.3986,143.463,14.76306548
ZHEDA PIXING 1B,3.01e-06,97.7089,72.4841,25016.0,54.0059,306.3473,14.81046628
ZHEDA PIXING 1C,2.94e-06,97.7367,68.8794,24539.0,53.9121,306.4361,14.80919719
SBSS (USA 216),1.14e-06,97.8757,309.4406,2272.0,88.4823,299.8508,14.8163418
SJ-6G,-8.4e-07,97.7176,71.6681,13331.0,165.0974,195.0656,14.93827565
SJ-6H,2.18e-06,97.7247,71.0382,11604.0,184.0188,176.0955,14.93445884
GLOBALSTAR M079,-9.1e-07,52.0025,155.9087,675.0,109.646,356.7422,12.62265602
GLOBALSTAR M074,-8.4e-07,52.0002,155.3681,663.0,104.6167,34.7603,12.62264129
GLOBALSTAR M076,-8.1e-07,52.0018,155.5826,858.0,139.62,322.7973,12.62266485
GLOBALSTAR M077,-9e-07,52.0055,112.029,406.0,111.1665,1.1742,12.62267338
GLOBALSTAR M075,-1.16e-06,51.9939,198.4725,793.0,112.3928,260.511,12.62265223
GLOBALSTAR M073,-8.7e-07,52.0043,111.292,385.0,112.6456,6.7884,12.62266388
FENGYUN 3B,2.7e-07,99.0764,79.0224,16867.0,182.5109,177.5981,14.15980602
SKYMED 4,4.8e-07,97.8881,271.5133,1526.0,91.4126,268.7267,14.82155444
FAST 1 (USA 222),1.81e-06,71.9688,58.2167,14083.0,94.2279,266.0494,14.79726427
FAST 2 (USA 228),1.68e-06,71.972,63.8207,14621.0,91.8804,268.4034,14.79366893
RESOURCESAT 2,7e-08,98.6472,162.2449,2786.0,288.258,71.8296,14.21659946
YOUTHSAT,3e-07,98.3815,132.2021,14887.0,177.672,193.2471,14.24309775
XSAT,-5.3e-07,98.3943,135.9104,14120.0,177.1057,183.0216,14.24386492
SAC-D (AQUARIUS),1.7e-06,98.0087,96.2666,2140.0,99.382,17.6402,14.73082243
SJ-11-03,5.3e-07,97.8478,119.8648,7617.0,306.8172,53.2342,14.60862489
GLOBALSTAR M083,-1.19e-06,51.9866,62.3071,653.0,76.3528,76.0125,12.62267546
GLOBALSTAR M088,-7.4e-07,51.9749,329.1682,1022.0,88.9703,81.9336,12.62263793
GLOBALSTAR M091,-8.4e-07,51.9992,289.5312,905.0,93.21,298.3736,12.62265896
GLOBALSTAR M085,-1.16e-06,51.9853,242.2091,796.0,98.6341,301.1997,12.62265258
GLOBALSTAR M081,-1.22e-06,51.9945,243.9621,981.0,109.7388,293.1898,12.62269525
GLOBALSTAR M089,-1.22e-06,51.9922,198.5772,461.0,135.6338,302.1526,12.6226891
SJ-11-02,6.8e-07,98.4855,280.646,12377.0,87.1815,273.0814,14.61634977
HAIYANG 2A,-2.7e-07,99.3181,95.223,676.0,41.9188,318.2015,13.78728231
EDUSAT,1.55e-06,98.4198,257.8375,38907.0,48.5353,340.5351,14.71086471
NIGERIASAT 2,-1e-08,97.8563,127.2686,11242.0,17.7799,342.3798,14.62159131
NIGERIASAT X,1.3e-07,97.9562,144.2008,11567.0,207.3664,152.6933,14.58620695
RASAT,6.2e-07,98.1006,181.3126,23259.0,97.8373,262.5481,14.64819996
APRIZESAT 5,1.22e-06,98.3875,302.2051,57857.0,348.0669,11.9164,14.75469223
APRIZESAT 6,1.09e-06,98.4311,277.5001,47473.0,30.1448,359.8074,14.72523333
SICH 2,1.04e-06,97.8998,138.5331,14201.0,91.1798,36.5915,14.61956498
MEGHA-TROPIQUES,3.08e-06,19.9774,104.494,9329.0,66.1441,293.9941,14.09689369
JUGNU,3.37e-06,19.9624,6.3942,18778.0,268.2313,248.0617,14.12708281
VESSELSAT 1,2.87e-06,19.9672,63.7451,13753.0,145.3135,214.8205,14.1091158
SRMSAT,3.14e-06,19.9721,77.6469,12076.0,110.9962,277.0992,14.10689068
